"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.198469400E-2,4.970000088E-1,9.397999763E0,1.314000010E0
5.198469400E-2,5.159999728E-1,9.531999588E0,1.141999960E0
7.198469400E-2,4.589999914E-1,9.550999641E0,9.499999881E-1
9.198469400E-2,3.630000055E-1,9.435999870E0,8.730000257E-1
1.119846940E-1,4.009999931E-1,9.340000153E0,8.159999847E-1
1.319846940E-1,4.009999931E-1,9.397999763E0,7.779999971E-1
1.519846940E-1,4.399999976E-1,9.512000084E0,8.159999847E-1
1.719846940E-1,5.159999728E-1,9.550999641E0,8.539999723E-1
1.919846940E-1,6.119999886E-1,9.473999977E0,8.159999847E-1
2.119846940E-1,7.269999981E-1,9.454999924E0,6.629999876E-1
2.319846940E-1,6.499999762E-1,9.454999924E0,6.819999814E-1
2.519846940E-1,4.589999914E-1,9.454999924E0,6.439999938E-1
2.719846940E-1,3.630000055E-1,9.454999924E0,7.390000224E-1
2.919846940E-1,3.059999943E-1,9.473999977E0,7.969999909E-1
3.119846940E-1,2.290000021E-1,9.512000084E0,7.969999909E-1
3.319846940E-1,7.599999756E-2,9.531999588E0,7.590000033E-1
3.519846940E-1,7.599999756E-2,9.493000031E0,8.539999723E-1
3.719846940E-1,1.519999951E-1,9.493000031E0,7.969999909E-1
3.919846940E-1,1.909999996E-1,9.512000084E0,6.629999876E-1
4.119846940E-1,2.669999897E-1,9.607999802E0,6.819999814E-1
4.319846940E-1,3.059999943E-1,9.588999748E0,7.779999971E-1
4.519846940E-1,4.210000038E-1,9.569999695E0,7.009999752E-1
4.719846940E-1,7.269999981E-1,9.550999641E0,7.390000224E-1
4.919846940E-1,1.052000046E0,9.282999992E0,5.860000253E-1
5.119846940E-1,1.396999955E0,9.034000397E0,2.029999942E-1
5.319846940E-1,1.608000040E0,9.187000275E0,2.419999987E-1
5.519846940E-1,1.032999992E0,9.626999855E0,4.329999983E-1
5.719846940E-1,-7.599999756E-2,9.991000175E0,8.930000067E-1
5.919846940E-1,-8.230000138E-1,9.800000191E0,1.467000008E0
6.119846940E-1,-5.929999948E-1,9.378000259E0,1.582000017E0
6.319846940E-1,3.799999878E-2,9.340000153E0,1.562999964E0
6.519846940E-1,6.309999824E-1,9.493000031E0,1.294999957E0
6.719846940E-1,9.950000048E-1,9.493000031E0,9.309999943E-1
6.919846940E-1,1.281999946E0,9.340000153E0,7.969999909E-1
7.119846940E-1,1.473999977E0,9.244000435E0,6.819999814E-1
7.319846940E-1,1.626999974E0,9.282999992E0,8.159999847E-1
7.519846940E-1,1.684000015E0,9.302000046E0,1.006999969E0
7.719846940E-1,1.531000018E0,9.302000046E0,1.161000013E0
7.919846940E-1,1.511999965E0,9.168000221E0,1.409999967E0
8.119846940E-1,1.664999962E0,9.071999550E0,1.485999942E0
8.319846940E-1,1.741999984E0,9.168000221E0,1.351999998E0
8.519846940E-1,1.664999962E0,9.263999939E0,9.879999757E-1
8.719846940E-1,1.511999965E0,9.282999992E0,8.159999847E-1
8.919846940E-1,1.434999943E0,9.435999870E0,9.689999819E-1
9.119846940E-1,1.455000043E0,9.359000206E0,1.161000013E0
9.319846940E-1,1.493000031E0,9.225000381E0,1.046000004E0
9.519846940E-1,1.684000015E0,9.149000168E0,1.026999950E0
9.719846940E-1,1.894999981E0,9.206000328E0,8.349999785E-1
9.919846940E-1,2.144000053E0,9.397999763E0,7.009999752E-1
1.011984694E0,2.374000072E0,9.685000420E0,6.050000191E-1
1.031984694E0,2.546000004E0,9.876000404E0,5.479999781E-1
1.051984694E0,2.871999979E0,1.012500000E1,4.140000045E-1
1.071984694E0,3.140000105E0,1.041199970E1,3.370000124E-1
1.091984694E0,3.273999929E0,1.064200020E1,2.989999950E-1
1.111984694E0,3.273999929E0,1.060400009E1,4.140000045E-1
1.131984694E0,2.947999954E0,1.016399956E1,4.140000045E-1
1.151984694E0,2.469000101E0,1.073799992E1,5.289999843E-1
1.171984694E0,2.507999897E0,1.179100037E1,6.050000191E-1
1.191984694E0,1.511999965E0,1.117800045E1,2.419999987E-1
1.211984694E0,1.741999984E0,1.085299969E1,2.800000012E-1
1.231984694E0,1.187000036E0,9.704000473E0,-1.154999971E0
1.251984694E0,2.479999959E-1,7.866000175E0,-2.400000095E0
1.271984694E0,-1.894999981E0,6.353000164E0,-2.744999886E0
1.291984694E0,-3.696000099E0,6.218999863E0,-9.829999804E-1
1.311984694E0,-3.217000008E0,8.190999985E0,1.735000014E0
1.331984694E0,-1.243999958E0,1.025899982E1,3.075999975E0
1.351984694E0,1.894999981E0,1.230799961E1,2.634999990E0
1.371984694E0,2.622999907E0,1.250000000E1,7.390000224E-1
1.391984694E0,6.890000105E-1,1.068099976E1,-2.600000054E-2
1.411984694E0,-7.850000262E-1,8.861000061E0,2.800000012E-1
1.431984694E0,-1.167999983E0,8.133999825E0,5.669999719E-1
1.451984694E0,-4.779999852E-1,8.343999863E0,9.499999881E-1
1.471984694E0,5.929999948E-1,8.727000237E0,1.639000058E0
1.491984694E0,1.205999970E0,8.842000008E0,1.983999968E0
1.511984694E0,1.090999961E0,8.498000145E0,2.252000093E0
1.531984694E0,6.119999886E-1,8.152999878E0,2.309999943E0
1.551984694E0,3.059999943E-1,7.520999908E0,2.463000059E0
1.571984694E0,1.140000001E-1,7.387000084E0,2.385999918E0
